id(numero),pergunta,resposa1,resposta2,resposta3,reposta4,resposta certa
1,Quem detém o recorde de mais títulos mundiais na história da Fórmula 1 (empatado com 7 títulos)?,Ayrton Senna,Michael Schumacher e Lewis Hamilton,Alain Prost,Juan Manuel Fangio,Michael Schumacher e Lewis Hamilton
2,Qual equipa conquistou o maior número de Campeonatos de Construtores na história da F1?,McLaren,Williams,Ferrari,Mercedes,Ferrari
3,O que significa a exibição de uma bandeira preta durante uma corrida de F1?,Entrada do Safety Car,Pista escorregadia,Desqualificação imediata do piloto,Paragem obrigatória nas boxes,Desqualificação imediata do piloto
4,Qual circuito é mundialmente conhecido como o 'Templo da Velocidade'?,Silverstone,Spa-Francorchamps,Monza,Interlagos,Monza
5,Quem é o piloto mais jovem de sempre a vencer uma corrida de Fórmula 1?,Sebastian Vettel,Max Verstappen,Lewis Hamilton,Fernando Alonso,Max Verstappen
6,"O que significa a sigla DRS, o sistema ativado nas retas para facilitar as ultrapassagens?",Drag Reduction System,Direct Racing Steering,Downforce Regulation System,Drive Recovery System,Drag Reduction System
7,Quantos títulos mundiais de Fórmula 1 conquistou o lendário piloto brasileiro Ayrton Senna?,2,3,4,5,3
8,Em qual circuito europeu ocorreu o trágico acidente que vitimou Ayrton Senna em 1994?,Mónaco,Estoril,Ímola,Nürburgring,Ímola
9,Qual piloto ficou conhecido no circo da Fórmula 1 pela alcunha de 'O Professor' devido à sua condução tática?,Niki Lauda,Alain Prost,Nelson Piquet,Nigel Mansell,Alain Prost
10,"Quem é o único piloto na história a vencer a 'Tríplice Coroa do Automobilismo' (Mónaco, Indy 500 e Le Mans)?",Graham Hill,Fernando Alonso,Juan Pablo Montoya,Mario Andretti,Graham Hill
11,Qual equipa surpreendeu o mundo ao vencer o Mundial de Pilotos e Construtores em 2009 no seu único ano de existência?,Red Bull Racing,Brawn GP,Toyota F1,Force India,Brawn GP
12,O que indica a bandeira azul mostrada a um piloto durante a corrida?,A corrida foi interrompida,Há detritos na pista à frente,Deve dar passagem a um carro mais rápido que lhe vai dar uma volta de avanço,Penalização de tempo aplicada,Deve dar passagem a um carro mais rápido que lhe vai dar uma volta de avanço
13,Em que ano foi disputada a primeira corrida oficial do Campeonato do Mundo de Fórmula 1?,1948,1950,1955,1960,1950
14,"Qual o nome da mítica e perigosa combinação de curvas do circuito de Spa-Francorchamps, na Bélgica?",Eau Rouge / Raidillon,Tamburello,Parabolica,Monza Chicane,Eau Rouge / Raidillon
15,Quem foi o primeiro piloto brasileiro a sagrar-se campeão mundial de Fórmula 1?,Emerson Fittipaldi,Nelson Piquet,Ayrton Senna,Rubens Barrichello,Emerson Fittipaldi
16,Qual elemento de segurança estrutural foi introduzido em 2018 nos cockpits para proteger a cabeça dos pilotos?,KERS,HANS,Halo,Aeroscreen,Halo
17,Qual piloto detém a famosa alcunha de 'The Iceman' (O Homem de Gelo)?,Mika Häkkinen,Kimi Räikkönen,Sebastian Vettel,Valtteri Bottas,Kimi Räikkönen
18,Quantos pontos recebe o vencedor de um Grande Prémio de Fórmula 1 segundo o sistema regular atual?,10 pontos,15 pontos,20 pontos,25 pontos,25 pontos
19,Qual fornecedor de pneus detém o monopólio exclusivo de fornecimento para a Fórmula 1 atualmente?,Bridgestone,Michelin,Pirelli,Goodyear,Pirelli
20,Quem é o piloto com mais pole positions conquistadas na história da categoria?,Michael Schumacher,Ayrton Senna,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton
21,Por qual equipa o piloto espanhol Fernando Alonso conquistou os seus dois títulos mundiais (2005 e 2006)?,Ferrari,McLaren,Renault,Minardi,Renault
22,O que determina a atribuição do ponto extra implementado nas corridas atuais?,Fazer a pole position,Liderar o maior número de voltas,"Fazer a volta mais rápida, desde que termine nos 10 primeiros",Fazer a paragem nas boxes mais rápida,"Fazer a volta mais rápida, desde que termine nos 10 primeiros"
23,Qual lendário piloto argentino dominou os anos 50 e venceu 5 campeonatos por 4 equipas diferentes?,Juan Manuel Fangio,José Froilán González,Carlos Reutemann,Ayrton Senna,Juan Manuel Fangio
24,Como se chama a estratégia tática em que um piloto para nas boxes antes do rival para tentar ultrapassá-lo usando pneus novos?,Overcut,Undercut,Blistering,Graining,Undercut
