id(numero),pergunta,resposa1,resposta2,resposta3,reposta4,resposta certa
1,Quem ganhou o Mundial de Futebol de 2022?,França,Brasil,Argentina,Croácia,Argentina
2,Qual destes países tem mais títulos do Campeonato do Mundo?,Alemanha,Itália,Brasil,Argentina,Brasil
3,Em que país se realizou o primeiro Mundial de Futebol em 1930?,Brasil,Uruguai,Itália,França,Uruguai
4,Quem é o maior marcador de sempre na história dos Mundiais?,Pelé,Miroslav Klose,Ronaldo Nazário,Gerd Müller,Miroslav Klose
5,Quantos Mundiais de Futebol ganhou a seleção de Itália?,2,3,4,5,4
6,Qual país organizou o Mundial de Futebol de 1994?,Itália,França,Estados Unidos,Japão,Estados Unidos
7,Quem foi o capitão que levantou a taça do mundo pelo Brasil em 2002?,Dunga,Cafu,Ronaldo,Roberto Carlos,Cafu
8,Em que ano a França ganhou o seu primeiro Mundial de Futebol?,1998,2006,2014,2018,1998
9,Que seleção africana se tornou a primeira a chegar a uma meia-final de um Mundial em 2022?,Gana,Camarões,Senegal,Marrocos,Marrocos
10,Qual país venceu o Mundial de 2010 na África do Sul?,Alemanha,Países Baixos,Espanha,Argentina,Espanha
11,Quem marcou o famoso golo conhecido como 'A Mão de Deus' no Mundial de 1986?,Pelé,Diego Maradona,Lionel Messi,Zinedine Zidane,Diego Maradona
12,"Quantos golos marcou Just Fontaine no Mundial de 1958, estabelecendo o recorde numa única edição?",10,13,15,9,13
13,"Qual seleção perdeu três finais de Mundiais sem nunca ter ganho nenhuma (1974, 1978, 2010)?",Países Baixos,Hungria,Suécia,Croácia,Países Baixos
14,"Em qual Mundial ocorreu o famoso 'Maracanazo', onde o Uruguai bateu o Brasil na final?",1938,1950,1954,1958,1950
15,Quem foi eleito o melhor jogador do Mundial de 2014 no Brasil?,Thomas Müller,Neymar Jr,Lionel Messi,James Rodríguez,Lionel Messi
16,Qual destas seleções nunca venceu um Mundial de Futebol?,Inglaterra,Espanha,Portugal,Uruguai,Portugal
17,Quantos títulos mundiais conquistou a Alemanha (incluindo a Alemanha Ocidental)?,3,4,5,2,4
18,Qual foi o resultado do histórico jogo entre Brasil e Alemanha no Mundial de 2014?,7-1 para a Alemanha,5-0 para a Alemanha,3-1 para o Brasil,4-1 para a Alemanha,7-1 para a Alemanha
19,Quem marcou o golo da vitória da Alemanha na final do Mundial de 2014 contra a Argentina?,Miroslav Klose,Mario Götze,Thomas Müller,Toni Kroos,Mario Götze
20,Em que país se realizou o Mundial de Futebol de 2018?,Brasil,África do Sul,Catar,Rússia,Rússia
21,Que jogador marcou três golos (hat-trick) na final do Mundial de 2022?,Lionel Messi,Kylian Mbappé,Julián Álvarez,Angel Di María,Kylian Mbappé
22,Qual o único jogador a vencer três edições do Campeonato do Mundo como jogador?,Diego Maradona,Pelé,Ronaldo Nazário,Zinedine Zidane,Pelé
23,Quem foi o jogador mais jovem a marcar numa final de um Mundial desde Pelé?,Kylian Mbappé,Neymar Jr,Lionel Messi,Cristiano Ronaldo,Kylian Mbappé
24,Qual seleção venceu o Mundial de Futebol de 1966?,Alemanha,Inglaterra,Brasil,Itália,Inglaterra
25,Que país sediou o Mundial de 2002 conjuntamente?,Espanha e Portugal,Coreia do Sul e Japão,EUA e Canadá,Bélgica e Países Baixos,Coreia do Sul e Japão
26,Quem foi o melhor marcador do Mundial de 2002 com 8 golos?,Rivaldo,Miroslav Klose,Ronaldo Nazário,Thierry Henry,Ronaldo Nazário
27,Que país venceu o Mundial de 1978 como anfitrião?,Brasil,Uruguai,Argentina,Itália,Argentina
28,Qual destas mascotes pertenceu ao Mundial de 1994 nos EUA?,Footix,Striker,Zakumi,Fuleco,Striker
29,Quem marcou o golo do título da Espanha na final de 2010?,Xavi,Andrés Iniesta,David Villa,Fernando Torres,Andrés Iniesta
30,Qual o único país que participou em todas as edições dos Mundiais de Futebol?,Alemanha,Itália,Brasil,Argentina,Brasil
31,Quem é o maior marcador de sempre da Liga dos Campeões da UEFA?,Lionel Messi,Cristiano Ronaldo,Robert Lewandowski,Raúl,Cristiano Ronaldo
32,Qual o clube onde Lionel Messi passou a maior parte da sua carreira profissional?,Paris Saint-Germain,Inter Miami,Barcelona,Newell's Old Boys,Barcelona
33,Por qual clube português se estreou Cristiano Ronaldo no futebol profissional?,FC Porto,Benfica,Sporting CP,Sporting de Braga,Sporting CP
34,Qual era a alcunha de Edson Arantes do Nascimento?,Garrincha,Zico,Pelé,Ronaldinho,Pelé
35,De que país é natural o avançado Zlatan Ibrahimović?,Dinamarca,Suécia,Noruega,Bósnia,Suécia
36,Em que clube italiano jogou Diego Maradona a sua fase mais áurea na Europa?,Juventus,AC Milan,Nápoles,Inter de Milão,Nápoles
37,Qual é a nacionalidade do avançado Erling Haaland?,Suécia,Finlândia,Dinamarca,Noruega,Noruega
38,Que jogador francês ganhou a Bola de Ouro em 2022 e depois transferiu-se para a Arábia Saudita?,Kylian Mbappé,Karim Benzema,Antoine Griezmann,Paul Pogba,Karim Benzema
39,Quem é conhecido como 'O Fenómeno' no mundo do futebol?,Cristiano Ronaldo,Ronaldo Nazário,Ronaldinho Gaúcho,Romário,Ronaldo Nazário
