id(numero),pergunta,resposa1,resposta2,resposta3,reposta4,resposta certa
1,Qual é o nome da Akuma no Mi (Fruta do Diabo) consumida pelo protagonista Luffy em One Piece?,Mera Mera no Mi,Gomu Gomu no Mi,Goro Goro no Mi,Ope Ope no Mi,Gomu Gomu no Mi
2,"Quem é o pai de Naruto Uzumaki, revelado como o Quarto Hokage da Vila da Folha?",Kakashi Hatake,Jiraiya,Minato Namikaze,Orochimaru,Minato Namikaze
3,Qual é o nome do Shinigami (Deus da Morte) que acompanha Light Yagami no anime Death Note?,Ryuk,Rem,L,Near,Ryuk
4,"No anime Attack on Titan (Shingeki no Kyojin), quais são os nomes das três muralhas que protegem a humanidade?","Sina, Rose e Maria","Alfa, Beta e Ómega","Nilo, Ganges e Amazonas","Apolo, Atena e Zeus","Sina, Rose e Maria"
5,Quem é o criador original da lendária e influente franquia Dragon Ball?,Masashi Kishimoto,Eiichiro Oda,Akira Toriyama,Tite Kubo,Akira Toriyama
6,"Como viaja Nezuko Kamado, a irmã de Tanjiro, durante o dia no anime Demon Slayer (Kimetsu no Yaiba)?",Num carrinho de mão,Escondida numa caixa de madeira nas costas de Tanjiro,Voando nas sombras,Disfarçada de humana comum,Escondida numa caixa de madeira nas costas de Tanjiro
7,"No sucesso Jujutsu Kaisen, que objeto amaldiçoado Yuji Itadori engole no início da história para ganhar poderes?",Um olho de demónio,O dedo de Ryomen Sukuna,Uma espada ancestral,Um pergaminho proibido,O dedo de Ryomen Sukuna
8,Qual é a arma de eleição invulgar utilizada por Gon Freecss no início de Hunter x Hunter?,Uma catana,Uma cana de pesca (vara de pescar),Um arco e flecha,Punhos de ferro,Uma cana de pesca (vara de pescar)
9,Qual é a acunha oficial de Alquimista de Estado recebida por Edward Elric em Fullmetal Alchemist?,Alquimista de Fogo,Alquimista de Sangue,Alquimista de Aço,Alquimista de Cristal,Alquimista de Aço
10,"Qual é o poder (Individualidade / Quirk) do rival de Deku, Katsuki Bakugo, em My Hero Academia?",Gelo e Fogo,Explosão através do suor,Eletricidade estática,Gravidade Zero,Explosão através do suor
11,"No filme 'A Viagem de Chihiro' do Studio Ghibli, em que animais os pais de Chihiro são transformados?",Cães,Sapos,Porcos,Gatos,Porcos
12,Qual jovem é selecionado para pilotar a unidade EVA-01 no aclamado anime Neon Genesis Evangelion?,Asuka Langley,Rei Ayanami,Shinji Ikari,Kaworu Nagisa,Shinji Ikari
13,Qual é o nome civil da icónica heroína Sailor Moon na versão original japonesa?,Usagi Tsukino,Rei Hino,Ami Mizuno,Minako Aino,Usagi Tsukino
14,"No universo de Bleach, como se chama a forma final libertada de uma Zanpakuto (espada dos Shinigami)?",Shikai,Bankai,Resurrección,Hollowficação,Bankai
15,Qual o nome do castelo flutuante onde decorre o primeiro jogo de realidade virtual em Sword Art Online?,Aincrad,Alfheim,Gun Gale,Underworld,Aincrad
16,Qual o treino diário insano feito por Saitama em One Punch Man para obter a sua força indestrutível?,1000 flexões e meditação na cascata,"100 flexões, 100 abdominais, 100 agachamentos e 10 km de corrida todos os dias",Dormir 12 horas e comer carne de monstros,Levantamento de peso e artes marciais com o mestre,"100 flexões, 100 abdominais, 100 agachamentos e 10 km de corrida todos os dias"
17,De que tipo é a magia de Dragon Slayer praticada por Natsu Dragneel no anime Fairy Tail?,Dragon Slayer do Céu (Vento),Dragon Slayer do Ferro,Dragon Slayer do Fogo,Dragon Slayer da Luz,Dragon Slayer do Fogo
18,"Na terceira parte de JoJo's Bizarre Adventure (Stardust Crusaders), qual o nome do Stand de Jotaro Kujo?",The World,Star Platinum,Crazy Diamond,Gold Experience,Star Platinum
19,Que tipo de criatura Ken Kaneki se torna após sofrer um transplante de órgãos no início de Tokyo Ghoul?,Um vampiro,Um Meio-Ghoul,Um zombie mutante,Um lobisomem,Um Meio-Ghoul
20,Qual o nome do poder absoluto concedido a Lelouch vi Britannia que lhe permite dar ordens inquestionáveis em Code Geass?,Geass,Sharingan,Nen,Haki,Geass
21,Em que cidade futurista e distópica se desenrola a narrativa do anime Cyberpunk: Edgerunners?,Neo-Tokyo,Night City,New Horizon,Metropolis,Night City
22,Que eletrodoméstico comum é modificado para servir como a primeira máquina do tempo improvisada em Steins;Gate?,Uma torradeira,Um frigorífico (geladeira),Um forno micro-ondas,Uma máquina de lavar roupa,Um forno micro-ondas
23,Quem realizou o aclamado e visualmente deslumbrante filme de animação 'Your Name' (Kimi no Na wa) de 2016?,Hayao Miyazaki,Mamoru Hosoda,Makoto Shinkai,Satoshi Kon,Makoto Shinkai
24,Qual a posição ocupada pelo enérgico protagonista Shoyo Hinata na equipa de voleibol da Karasuno em Haikyuu?,Distribuidor (Setter),Líbero,Bloqueador Central (Middle Blocker),Oposto,Bloqueador Central (Middle Blocker)
25,Qual a característica física e mágica que torna Asta totalmente único no reino de Clover em Black Clover?,Ele tem o maior poder mágico do reino,Ele nasceu sem qualquer pingo de magia,Ele consegue voar naturalmente,Ele controla os quatro elementos ao mesmo tempo,Ele nasceu sem qualquer pingo de magia
26,Qual o nome do pequeno demónio motosserra que se funde com Denji para salvá-lo em Chainsaw Man?,Pochita,Power,Aki,Makima,Pochita
27,Quem é o implacável viking que serve como principal motivação de vingança para Thorfinn na primeira temporada de Vinland Saga?,Askeladd,Thors,Thorkell,Canute,Askeladd
28,Como se chama a icónica nave espacial usada pela equipa de caçadores de recompensas de Spike Spiegel em Cowboy Bebop?,Millennium,Bebop,Outlaw,Red Tail,Bebop
29,Qual a carta de monstro assinatura e favorita de Yugi Muto no jogo Duel Monsters em Yu-Gi-Oh!?,Dragão Branco de Olhos Azuis,Mago Negro,Rei da Gruta,Kuriboh,Mago Negro
30,Qual o nome do rival eterno de Goku que ostenta orgulhosamente o título de Príncipe dos Saiyans?,Gohan,Broly,Vegeta,Trunks,Vegeta
31,"No inovador anime científico Dr. Stone, qual a substância química líquida usada por Senku para reverter a petrificação humana?",Ácido Sulfúrico,Nital (Fluido de avivamento à base de ácido nítrico e etanol),Água Régia,Cloreto de Sódio puro,Nital (Fluido de avivamento à base de ácido nítrico e etanol)
32,Como se chama a criatura amarela tentacular com superpoderes que dá aulas à turma 3-E em Assassination Classroom?,Koro-sensei,Nagisa,Karma,Rei Demónio,Koro-sensei
33,Qual o nome da lendária espada carregada por Guts no arco pós-Eclipse do anime e manga Berserk?,Excalibur,Dragonslayer (Matadora de Dragões),Muramasa,Zangetsu,Dragonslayer (Matadora de Dragões)
34,Qual o objetivo central do ambicioso projeto desportivo e militar apresentado no anime futebolístico Blue Lock?,Treinar os melhores guarda-redes do Japão,Criar o pontuador/atacante mais egoísta e perfeito do mundo,Ganhar o torneio inter-escolas locais,Desenvolver táticas defensivas imbatíveis,Criar o pontuador/atacante mais egoísta e perfeito do mundo
35,Que poder psíquico secreto possui a pequena Anya Forger no anime de comédia e espionagem Spy x Family?,Telequinese,Telepatia (Capacidade de ler mentes),Invisibilidade,Previsão do futuro distante,Telepatia (Capacidade de ler mentes)
36,Qual a constelação protetora que dá nome à armadura sagrada do cavaleiro de bronze Seiya em 'Os Cavaleiros do Zodíaco'?,Dragão,Fénix,Pégaso,Cisne,Pégaso
37,"Como se chama o detetive genial L no registo civil de Death Note, revelado apenas mais tarde?",Light Yagami,L Lawliet,Mail Jeevas,Nate River,L Lawliet
38,"No anime Inuyasha, qual o nome da poderosa espada forjada a partir de um dente do pai de Inuyasha?",Tessaiga,Tenseiga,Bakusaiga,Tokijin,Tessaiga
39,Qual a técnica de energia espiritual clássica disparada pelos dedos de Yusuke Urameshi em Yu Yu Hakusho?,Hadouken,Leigun (Raio Espiritual),Chidori,Rasengan,Leigun (Raio Espiritual)
40,Qual a peculiaridade da espada empunhada pelo samurai andarilho Himura Kenshin em Rurouni Kenshin (Samurai X)?,É feita de bambu flexível,Possui uma lâmina invertida (Sakabatou) que não corta nas costas,É uma espada dupla gigante,Possui veneno embutido na ponta,Possui uma lâmina invertida (Sakabatou) que não corta nas costas
41,"Qual o nome do misterioso e frio antagonista principal do aclamado thriller psicológico Monster, de Naoki Urasawa?",Johan Liebert,Kenzo Tenma,Heinrich Lunge,Wolfgang Grimmer,Johan Liebert
42,"No anime de mechas Tengen Toppa Gurren Lagann, qual objeto pequeno Simon usa para ativar o robô Lagann?",Um cartão magnético,Uma chave em forma de broca (Core Drill),Um anel mágico,Um comando de voz,Uma chave em forma de broca (Core Drill)
43,Qual a arma bizarra em forma de tesoura gigante usada pela protagonista Ryuko Matoi no anime Kill la Kill?,Lâmina Tesoura (Scissor Blade),Katana Sanguinária,Fio Cortante,Foice Gigante,Lâmina Tesoura (Scissor Blade)
44,Qual o nome do espírito samurai parceiro de Yoh Asakura no clássico Shaman King?,Amidamaru,Bason,Tokageroh,Matamune,Amidamaru
45,"No universo desportivo de Kuroko no Basket, qual o nome do estado mental de foco absoluto que faz os olhos dos jogadores brilharem com faíscas?",The Zone (A Zona),Emperor Eye,Perfect Copy,Vanishing Drive,The Zone (A Zona)
46,Quem é a protagonista ciborgue e líder do Setor 9 no influente filme anime de ficção científica Ghost in the Shell (1995)?,Motoko Kusanagi,Lain Iwakura,Asuka Sohryu,Faye Valentine,Motoko Kusanagi
47,De que cor é a icónica e futurista mota conduzida por Shotaro Kaneda no filme Akira (1988)?,Azul Elétrico,Verde Tropa,Vermelha,Preto Fosco,Vermelha
48,Qual o monstro digital parceiro do líder Tai Kamiya na primeira temporada de Digimon Adventure?,Gabumon,Agumon,Patamon,Tentomon,Agumon
49,"No hilariante anime Gintama, qual o nome da empresa de biscates e trabalhos gerais liderada por Gintoki Sakata?",Yorozuya,Shinsengumi,Kaientai,Kiheitai,Yorozuya
50,Qual o nome da organização criminosa de renegados vestida com mantos pretos e nuvens vermelhas em Naruto Shippuden?,Akatsuki,Kara,Espada,Phantom Troupe,Akatsuki
51,"No anime Blue Exorcist (Ao no Exorcist), Rin Okumura descobre que é filho biológico de quem?",Satanás,Mephisto Pheles,Shiro Fujimoto,Igor Neuhaus,Satanás
52,Qual o nome da gata preta falante que guia Usagi Tsukino no início de Sailor Moon?,Luna,Artemis,Diana,Mei,Luna
53,Quem é o lendário capitão dos Sete Pecados Capitais no anime The Seven Deadly Sins (Nanatsu no Taizai)?,Meliodas,Escanor,Ban,King,Meliodas
54,"No aclamado anime Fire Force, de onde provêm os poderes especiais de pirocinese de Shinra Kusakabe?",Dos seus olhos,Das palmas das mãos,Dos seus pés (Pegadas do Diabo),De uma espada mágica,Dos seus pés (Pegadas do Diabo)
55,"No clássico de terror e ficção Parasyte (Kiseijuu), qual o nome do parasita que infeta e coabita na mão direita de Shinichi?",Migi,Hidari,Joe,Gotou,Migi
56,Qual é a alcunha profissional do assassino profissional e protagonista Kenshin Himura no seu passado?,Hitokiri Battousai,Shishio,Saitou,Aoshi,Hitokiri Battousai
57,"No anime desportivo Slam Dunk, que desporto Hanamichi Sakuragi aprende para impressionar uma rapariga?",Voleibol,Futebol,Basquetebol,Andebol,Basquetebol
58,Qual o nome da emblemática academia privada onde os alunos apostam tudo em jogos de azar no anime Kakegurui?,Academia Privada Hyakkaou,Academia Otonokizaka,Academia UA,Academia Honnouji,Academia Privada Hyakkaou
59,"No universo de Noragami, Yato é um deus menor de que tipo?",Deus da Guerra / Calamidade,Deus da Riqueza,Deus da Sabedoria,Deus da Agricultura,Deus da Guerra / Calamidade
60,"No anime Mob Psycho 100, qual é a profissão do carismático mestre de Mob, Reigen Arataka?",Um autoproclamado médium e exorcista (vigarista),Professor de matemática,Polícia de elite,Cientista de laboratório,Um autoproclamado médium e exorcista (vigarista)
61,Qual o nome da rapariga com cabelos compridos de cor lilás que protagoniza o anime futurista Elfen Lied?,Lucy,Nana,Yuka,Mayu,Lucy
62,"No universo de Overlord, qual era o nome do jogo online que Momonga jogava antes de ficar preso?",Yggdrasil,Sword Art Online,Elder Tale,The World,Yggdrasil
63,Qual é o nome da técnica suprema de manipulação de fios de energia usada por Kurapika em Hunter x Hunter?,Correntes de Nen,Jajanken,Godspeed,Bungee Gum,Correntes de Nen
64,"No anime Re:Zero, qual o nome da habilidade dolorosa de Subaru Natsuki que lhe permite voltar no tempo sempre que falece?",Retorno através da Morte (Return by Death),Chrono Trigger,Time Leap,Geass do Tempo,Retorno através da Morte (Return by Death)
65,"No aclamado anime de voleibol Haikyuu, qual é a alcunha temida do distribuidor Tobio Kageyama?",O Rei do Campo (King of the Court),O Grande Rei,O Pequeno Gigante,O Imperador,O Rei do Campo (King of the Court)
66,Qual o nome da organização militar protetora contra os monstros chamados 'Akuma' no anime D.Gray-man?,Ordem Negra (Black Order),Exorcistas Unidos,Alquimistas de Estado,Guarda Real,Ordem Negra (Black Order)
67,"No mundo pós-apocalíptico de Seraph of the End (Owari no Seraph), que criaturas dominam o mundo após um vírus dizimar os adultos?",Vampiros,Zombies,Titãs,Ghouls,Vampiros
68,Qual é o nome do icónico dragão ancestral invocado pelas sete bolas de cristal na Terra em Dragon Ball?,Shenlong,Porunga,Super Shenlong,Tiamat,Shenlong
69,"No anime de comédia e fantasia Konosuba, qual é a única magia que a feiticeira Megumin recusa deixar de usar?",Magia de Explosão,Magia de Cura,Magia de Gelo,Magia de Teletransporte,Magia de Explosão
70,Qual o nome da misteriosa e fria rapariga de cabelo verde que dá os poderes do Geass a Lelouch em Code Geass?,C.C.,V.V.,Shirley,Kallen,C.C.
71,"No clássico Yu-Gi-Oh!, qual o nome do artefacto milenar egípcio que abriga o espírito do Faraó no corpo de Yugi?",Enigma do Milénio (Millennium Puzzle),Olho do Milénio,Anel do Milénio,Cetro do Milénio,Enigma do Milénio (Millennium Puzzle)
72,"No anime Black Butler (Kuroshitsuji), o que Sebastian Michaelis é na realidade além de um mordomo impecável?",Um demónio cobiçador de almas,Um anjo caído,Um ceifeiro de almas,Um vampiro ancestral,Um demónio cobiçador de almas
73,"No anime Vinland Saga, qual é o parentesco de Thorfinn com o lendário guerreiro Thors?",É filho de Thors,É irmão de Thors,É sobrinho de Thors,É rival sem laço de sangue,É filho de Thors
74,"No mundo de Soul Eater, para que os humanos que se transformam em armas se tornem 'Death Scythes', quantas almas humanas corrompidas têm de consumir?",99 almas corrompidas e 1 alma de bruxa,50 almas de demónio,100 almas puras,77 almas de bruxa,99 almas corrompidas e 1 alma de bruxa
75,Qual o nome do protagonista destemido do clássico anime de mechas Gurren Lagann?,Simon,Kamina,Yoko,Viral,Simon
76,"No anime de ficção científica Psycho-Pass, como se chama a arma inteligente que mede o coeficiente criminal das pessoas?",Dominator,Enforcer,Inspector,Sybilla,Dominator
77,Qual é o nome do deus da guerra que protagoniza o anime recordista de vendas Fate/Stay Night sob a classe Saber?,Arturia Pendragon (Rei Artur),Gilgamesh,Cu Chulainn,Alexander Magno,Arturia Pendragon (Rei Artur)
78,"No anime Durarara!!, que lenda urbana percorre as ruas escuras de Ikebukuro montada numa mota preta sem luzes?",A Motoqueira Sem Cabeça (Celty Sturluson),O Estripador,O Vampiro da Noite,O Zombie de Olhos Vermelhos,A Motoqueira Sem Cabeça (Celty Sturluson)
79,"No anime Darling in the Franxx, qual é o código numérico de identificação da icónica piloto Code:002?",Zero Two,Ichigo,Hiro,Goro,Zero Two
80,Quem é o autor do manga original que deu origem ao aclamado anime One Piece?,Eiichiro Oda,Masashi Kishimoto,Tite Kubo,Yoshihiro Togashi,Eiichiro Oda
81,"No anime Dr. Stone, qual é a contagem exata de anos que Senku passou petrificado antes de despertar?",3700 anos,1000 anos,5000 anos,2500 anos,3700 anos
82,"No anime Highschool of the Dead, que tipo de apocalipse repentino une o grupo de estudantes?",Apocalipse Zombie,Invasão Alienígena,Inundação Global,Guerra Nuclear,Apocalipse Zombie
83,Qual o nome do bar de luxo gerido por Decim onde os mortos jogam jogos para decidir o destino das suas almas em Death Parade?,Quindecim,Viginti,Valhalla,Purgatório,Quindecim
84,"No clássico anime de comédia Great Teacher Onizuka (GTO), qual era a antiga profissão/estilo de vida de Eikichi Onizuka?",Líder de um gangue de motoqueiros (Yanki),Polícia disfarçado,Ator de cinema,Lutador de boxe profissional,Líder de um gangue de motoqueiros (Yanki)
85,"No anime Another, que objeto físico e médico a protagonista Mei Misaki usa para cobrir o seu olho esquerdo sintético?",Uma pala médica (tapa-olho),Óculos de sol escuros,Uma franja de cabelo espessa,Uma ligadura cirúrgica,Uma pala médica (tapa-olho)
86,"No anime Assassination Classroom, qual a velocidade máxima absurda a que Koro-sensei consegue voar?",Mach 20,Mach 1,Mach 5,Mach 10,Mach 20
87,Qual é a cidade fictícia do interior do Japão onde decorre o enredo de mistério de Higurashi: When They Cry?,Hinamizawa,Sugomori,Fuyuki,Karakura,Hinamizawa
88,"No anime de desporto Yuri!!! on Ice, em que modalidade desportiva compete o protagonista Yuri Katsuki?",Patinagem artística no gelo,Hóquei no gelo,Natação de alta velocidade,Corrida de trenós,Patinagem artística no gelo
89,Qual é o nome da organização de elite secreta de investigadores de ghouls no anime Tokyo Ghoul?,CCG (Commission of Counter Ghoul),Anteiku,Aogiri Tree,Section 9,CCG (Commission of Counter Ghoul)
90,"No anime Akame ga Kill!, qual o nome do grupo de assassinos revolucionários ao qual Tatsumi se junta?",Night Raid,Jaegers,Wild Hunt,Akatsuki,Night Raid
91,"No anime No Game No Life, qual é o nome da dupla imbatível de irmãos gamers formada por Sora e Shiro?",Kuuhaku (Espaço em Branco),Blank Teams,The Kings,NoNames,Kuuhaku (Espaço em Branco)
92,"No mundo de Ao No Exorcist, qual é a cor das chamas demoníacas herdadas por Rin Okumura de Satanás?",Azul,Vermelho,Preto,Verde,Azul
93,"No clássico anime Clannad, que objeto esférico e fofo de pelúcia a protagonista Nagisa Furukawa adora colecionar?",Dango (Grande Família Dango),Ursinhos de pelúcia,Almofadas de estrelas,Gatos de pano,Dango (Grande Família Dango)
94,"No anime Toradora!, qual é a alcunha temida recebida por Taiga Aisaka devido ao seu temperamento agressivo e baixa estatura?",Tigre de Bolso (Palmtop Tiger),Mini Dragão,Pequena Fúria,Rainha das Lâminas,Tigre de Bolso (Palmtop Tiger)
95,"No anime bizarro e violento Deadman Wonderland, como os prisioneiros usam as suas habilidades de luta especiais?",Manipulando e moldando o seu próprio sangue,Através de feitiçaria antiga,Invocando deuses mecânicos,Usando armas laser embutidas,Manipulando e moldando o seu próprio sangue
96,"No anime Mirai Nikki (Future Diary), qual o número do diário de Yukiteru Amano?",Primeiro (1º),Segundo (2º),Terceiro (3º),Décimo Segundo (12º),Primeiro (1º)
97,Qual é a alcunha oficial da psicótica e obsessiva Yuno Gasai em Mirai Nikki?,Segunda (2ª),Primeira,Sexta,Nona,Segunda (2ª)
