id(numero),pergunta,resposa1,resposta2,resposta3,reposta4,resposta certa
1,Quem é o maior pontuador de sempre da história da NBA na temporada regular?,Michael Jordan,Kareem Abdul-Jabbar,LeBron James,Kobe Bryant,LeBron James
2,Quantos campeonatos da NBA venceu Michael Jordan na sua carreira?,4,5,6,7,6
3,Qual jogador detém o recorde de mais anéis de campeão da NBA como jogador (11 títulos)?,Bill Russell,Sam Jones,Kareem Abdul-Jabbar,Michael Jordan,Bill Russell
4,Que equipa da NBA quebrou o empate e chegou aos 18 títulos com a conquista do campeonato em 2024?,Los Angeles Lakers,Boston Celtics,Golden State Warriors,Chicago Bulls,Boston Celtics
5,Quem detém o recorde lendário de mais pontos marcados num único jogo da NBA (100 pontos)?,Kobe Bryant,Wilt Chamberlain,Michael Jordan,Elgin Baylor,Wilt Chamberlain
6,Qual era a famosa alcunha de Kobe Bryant no mundo do basquetebol?,The Answer,The King,Black Mamba,The Truth,Black Mamba
7,Em que equipa Michael Jordan jogou a maior parte da sua carreira profissional?,Boston Celtics,New York Knicks,Chicago Bulls,Washington Wizards,Chicago Bulls
8,Quem é o líder histórico da NBA em lançamentos de três pontos convertidos?,Ray Allen,Reggie Miller,Stephen Curry,James Harden,Stephen Curry
9,Qual lenda dos Los Angeles Lakers ficou famosa pelo seu lançamento imparável conhecido como 'Skyhook'?,Shaquille O'Neal,Kareem Abdul-Jabbar,Magic Johnson,Wilt Chamberlain,Kareem Abdul-Jabbar
10,A rivalidade épica entre os Boston Celtics e os LA Lakers nos anos 80 foi personificada por quais dois jogadores?,Michael Jordan e Isiah Thomas,Magic Johnson e Larry Bird,Kobe Bryant e Paul Pierce,Bill Russell e Wilt Chamberlain,Magic Johnson e Larry Bird
11,"Quantos campeonatos da NBA conquistou Kobe Bryant, todos pelos Los Angeles Lakers?",3,4,5,6,5
12,Qual jogador detém o recorde de mais assistências na história da NBA?,Magic Johnson,John Stockton,Jason Kidd,Chris Paul,John Stockton
13,Em qual equipa Shaquille O'Neal e Kobe Bryant jogaram juntos para vencer três campeonatos seguidos (2000-2002)?,Miami Heat,Orlando Magic,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers
