1,O que o método 'append()' faz em uma lista Python?,Remove o último elemento,Adiciona um elemento ao final,Ordena a lista,Inverte a lista,Adiciona um elemento ao final
2,Qual palavra-chave é usada para definir uma função em Python?,func,define,def,function,def
3,Qual é o tipo de dado de x = 5.5 em Python?,int,str,boolean,float,float
4,Como se inicia um comentário de linha única em Python?,//,/*,#,--,#
5,Qual operador é usado para exponenciação em Python?,^,**,*,pow,**
6,Qual das seguintes estruturas em Python é imutável?,Lista,Dicionário,Conjunto (Set),Tupla,Tupla
7,O que o método 'split()' faz com uma string em Python?,Converte para maiúsculas,Divide a string em uma lista,Remove espaços extras,Inverte a string,Divide a string em uma lista
8,Como você converte um número para uma string em Python?,str(),toString(),int(),cast(str),str()
9,Qual função em Python é usada para obter o comprimento de uma lista?,length(),size(),count(),len(),len()
10,Qual é o resultado de 10 // 3 em Python?,3.333,3,1,0,3
11,O que faz a palavra-chave 'lambda' em Python?,Define uma classe,Inicia um loop,Cria uma função anônima,Importa um módulo,Cria uma função anônima
12,Qual biblioteca padrão do Python é usada para manipulação de expressões regulares?,regex,re,expression,string,re
13,Como você remove um item de um dicionário em Python usando sua chave?,remove(),delete(),pop(),discard(),pop()
14,O que o método 'join()' faz em Python?,Une duas tabelas,Junta elementos de uma lista em uma string,Adiciona elementos a um set,Interrompe uma thread,Junta elementos de uma lista em uma string
15,Qual cláusula é usada junto com 'try' para capturar exceções em Python?,catch,except,throws,error,except
16,Qual destas funções remove e retorna o último elemento de uma lista em Python?,remove(),pop(),discard(),delete(),pop()
17,Qual é o valor padrão retornado por uma função em Python que não possui a instrução 'return'?,0,False,None,void,None
18,Como importar um módulo chamado 'math' em Python?,include math,import math,require('math'),using math,import math
19,O que faz a função 'zip()' em Python?,Agrupa elementos de múltiplos iteráveis,Comprime um arquivo,Deleta variáveis,Ordena uma lista,Agrupa elementos de múltiplos iteráveis
20,Qual é a saída de bool([]) em Python?,True,False,None,Erro,False
21,Qual comando desfaz a última alteração em uma lista sem remover o elemento?,undo(),revert(),Não existe esse comando,back(),Não existe esse comando
22,Como verificar se a chave 'nome' existe no dicionário 'usuario' em Python?,'nome' in usuario,usuario.has('nome'),usuario.contains('nome'),"exists('nome', usuario)",'nome' in usuario
23,O que faz o método 'strip()' em uma string Python?,Inverte a string,Remove espaços em branco no início e no fim,Divide a string,Substitui caracteres,Remove espaços em branco no início e no fim
24,Qual palavra-chave impede que uma classe seja herdada em Python?,final,static,private,Não há palavra-chave nativa (usa-se convenção ou meta),Não há palavra-chave nativa (usa-se convenção ou meta)
25,O que o operador 'is' faz em Python?,Compara valores,Compara identidades de objetos (referência),Verifica o tipo,Atribui um valor,Compara identidades de objetos (referência)
26,Qual palavra-chave introduzida no ES6 permite declarar variáveis com escopo de bloco?,var,let,global,int,let
27,Como se escreve 'Hello World' em um alerta no JavaScript?,alertBox('Hello World'),msg('Hello World'),alert('Hello World'),console.log('Hello World'),alert('Hello World')
28,Qual operador é usado para verificar igualdade estrita de valor e tipo em JavaScript?,==,=,===,equals,===
29,Como você cria uma função em JavaScript?,function minhaFuncao(),function:minhaFuncao(),def minhaFuncao(),new function minhaFuncao(),function minhaFuncao()
30,Como se adiciona um comentário de várias linhas em JavaScript?,// coment //,<!-- coment -->,/* coment */,'' coment '',/* coment */
31,Qual é a saída de console.log(typeof []) em JavaScript?,'array','object','list','null','object'
32,Qual método converte uma string JSON em um objeto JavaScript?,JSON.stringify(),JSON.parse(),JSON.toObject(),JSON.convert(),JSON.parse()
33,Qual método converte um objeto JavaScript em uma string JSON?,JSON.stringify(),JSON.parse(),JSON.toString(),JSON.serialize(),JSON.stringify()
34,Como você adiciona um novo elemento ao final de um array em JavaScript?,push(),pop(),shift(),unshift(),push()
35,Qual método remove o primeiro elemento de um array em JavaScript?,pop(),push(),shift(),unshift(),shift()
36,O que significa a sigla DOM em desenvolvimento web?,Document Object Model,Data Object Management,Digital Ordinance Module,Document Oriented Multi,Document Object Model
37,Qual é o resultado de '5' + 5 em JavaScript?,10,55,Error,NaN,55
38,Qual é o resultado de '5' - 5 em JavaScript?,0,55,NaN,Error,0
39,Qual palavra-chave é usada para criar uma constante em JavaScript?,const,constant,let,var,const
40,Como selecionar um elemento HTML pelo seu ID usando JavaScript?,document.getElementByClass(),document.querySelector(),document.getElementById(),document.findId(),document.getElementById()
41,Qual objeto nativo do JavaScript é usado para operações matemáticas?,Math,Mathematics,Calc,Numbers,Math
42,Qual é a saída de console.log(isNaN('Hello'))?,false,true,undefined,null,true
43,Qual método nativo do JavaScript remove os espaços em branco do início e fim de uma string?,strip(),clean(),trim(),replace(),trim()
44,Qual o evento disparado quando o usuário clica em um elemento HTML?,onmouseover,onchange,onclick,onsubmit,onclick
45,Como você declara uma arrow function em JavaScript?,() => {},function() =>,=> {},def (),() => {}
